team_id,team_abbr,team_name,season_id,wins,games,pts,reb,ast,stl,blk,tov,fg_pct,fg3_pct,ft_pct,wins_predicted,residual,stat_padding_score
1610612737,ATL,Atlanta Hawks,21997,50,82,95.85365853658537,42.96341463414634,19.134146341463413,7.963414634146342,5.987804878048781,14.804878048780488,0.4554146341463415,0.31490243902439025,0.7565121951219512,42.63282642320196,7.367173576798038,-7.367173576798038
1610612737,ATL,Atlanta Hawks,21998,31,50,86.3,43.5,15.64,6.92,5.2,14.88,0.40844,0.29522,0.73402,21.08800184069656,9.91199815930344,-9.91199815930344
1610612737,ATL,Atlanta Hawks,21999,28,82,94.32926829268293,45.31707317073171,18.878048780487806,6.097560975609756,5.621951219512195,15.439024390243903,0.4424390243902439,0.32508536585365855,0.7452682926829268,35.60188161691618,-7.601881616916181,7.601881616916181
1610612737,ATL,Atlanta Hawks,22000,25,82,90.96341463414635,42.90243902439025,19.01219512195122,7.7317073170731705,4.719512195121951,16.682926829268293,0.4313048780487805,0.35931707317073175,0.765670731707317,33.6738687280346,-8.673868728034599,8.673868728034599
1610612737,ATL,Atlanta Hawks,22001,33,82,94.03658536585365,41.46341463414634,20.195121951219512,8.134146341463415,4.2682926829268295,15.536585365853659,0.4397317073170732,0.35239024390243906,0.7624268292682926,34.2226220192688,-1.2226220192687975,1.2226220192687975
1610612737,ATL,Atlanta Hawks,22002,35,82,94.07317073170732,42.6219512195122,20.475609756097562,7.451219512195122,5.7682926829268295,16.670731707317074,0.44496341463414635,0.35497560975609754,0.7886341463414634,36.27633212469345,-1.2763321246934467,1.2763321246934467
1610612737,ATL,Atlanta Hawks,22003,28,82,92.8170731707317,42.71951219512195,20.097560975609756,7.646341463414634,4.975609756097561,16.353658536585368,0.4337560975609756,0.3200121951219512,0.7719756097560976,27.009442765831594,0.9905572341684064,-0.9905572341684064
1610612737,ATL,Atlanta Hawks,22004,13,82,92.7439024390244,41.890243902439025,19.682926829268293,7.670731707317073,4.195121951219512,16.085365853658537,0.44120731707317074,0.30808536585365853,0.7065609756097562,24.631939412699793,-11.631939412699793,11.631939412699793
1610612737,ATL,Atlanta Hawks,22005,26,82,97.21951219512195,40.25609756097561,19.817073170731707,7.158536585365853,4.804878048780488,15.658536585365853,0.45496341463414636,0.3549878048780488,0.7466463414634147,31.066280115813715,-5.066280115813715,5.066280115813715
1610612737,ATL,Atlanta Hawks,22006,30,82,93.65853658536585,40.09756097560975,19.182926829268293,7.426829268292683,5.439024390243903,15.926829268292684,0.44478048780487806,0.3233536585365854,0.7648536585365853,25.451577323229536,4.548422676770464,-4.548422676770464
